R,W,Off,R,TRN,805,R,R,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,805,TSD,TRN,W,Off,Off,INS,INS,R,R,R,MST,D,H,Off
ROB,ROB,ROB,ROB,Off,Off,Off,Off,R,R,R,R,HL,Off,E,ROB,ROB,805,LH,W,G,G,Off,Off,R,R,R,OFF,OFF,OFF,WS
Off,805,R,PPD,R,HL,Off,Off,R,805,R,R,PPD,R,MST,INS,INS,Off,Off,SCK,SCK,SCK,SCK,SCK,VAC,VAC,VAC,VAC,VAC,VAC,D
MST,Off,Off,INS,INS,R,R,R,HL,R,VAC,Off,Off,Off,E,KSL,KSL,7 A,W,805,Off,Off,R,COL,W,805,R,W,SCK,H,Off
Off,INS,INS,GSO,TRN,R,Off,Off,TRN,R/S,R,R,R,MST,E,Off,Off,R,TRN,R,R,R,TRN,R,R,Off,VAC,VAC,VAC,VAC,VAC
R,Off,R,R,R,Off,Off,Off,R,R,R,KSL,G,Off,G,R,R,R,W,KSL,SCK,PC,Off,Off,INS,INS,R,D,MST,D,D
Off,LH,LH,SCK,LH,LH,R,R,Off,Off,LH,LH,R,G,E,R,R,G,OFF,OFF,OFF,OFF,R,R,COL,R,SCK,GAT,Off,D,D
R,R,R,R,Off,Off,Off,R,R,R,OFF,R,805,Off,R,HL,R,OFF,R,R,MST,R,W,R,Off,OFF,R,D,D,D,VAC
BC,Off,Off,R,R,R,BC,BC,R,R/,R,Off,Off,Off,E,BC,BC,HL,R,R,Off,Off,VAC,R,SCK,BC,BC,BC,BC,H,Off
G/,Off,Off,R,COL,COL,COL,COL,TRN,R,HL,Off,Off,Off,R,W,W,W,G,G,Off,Off,TRN,W,HL,FNL,W,G,G,H,Off
Off,G,G,G,G,G,Off,Off,G,G,G,G,MIL,MIL,MIL,D,D,INS,INS,VAC,R,R,G,G,G,Off,Off,Off,Off,G,G
Off,R,HL,R,805,R,Off,Off,TRN,R,SCK,R,R,FML,COL,Off,Off,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,Off,Off,Off,Off,PC,SCK
Off,INS,INS,BC,BC,BC,Off,Off,BC,BC,BC,BC,BC,BC,BC,Off,Off,BC,BC,BC,BC,BC,BC,BC,BC,Off,Off,Off,Off,BC,BC
Off,INS,INS,PC,PC,SCK,PC,PC,PC,PC,PC,Off,Off,Off,E,PC,PC,PC,PC,PC,Off,Off,PC,PC,PC,PC,PC,PC,PC,H,Off
COL,COL,COL,COL,OFF,OFF,OFF,OFF,COL,COL,COL,COL,COL,Off,E,COL,COL,COL,COL,COL,COL,COL,INS,INS,Off,Off,COL,COL,COL,COL,COL
VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,LH,Off,E,LH,LH,LH,R,R,Off,Off,LH,LH,LH,LH,LH,Off,Off,LH,LH
Off,SCK,W,W,W,W,Off,Off,W,W,W,W,W,W,W,Off,Off,SCK,SA,SCK,W,W,SA,SA,SCK,Off,Off,Off,Off,W,SCK
Off,D,GSC,SCK,D,D,D,D,D,Off,Off,D,OFF,OFF,OFF,SCK,D,SA,D,SA,Off,Off,D,D,D,W,D,D,D,H,Off
KSL,Off,Off,LH,R,R,KSL,KSL,KSL,KSL,KSL,Off,Off,Off,E,INS,INS,KSL,R,OFF,Off,Off,805,R,KSL,KSL,KSL,KSL,KSL,H,Off
Off,KSL,KSL,KSL,KSL,KSL,Off,Off,SA,SA,SA,SA,KSL,KSL,KSL,Off,Off,TRN,KSL,SCK,KSL,KSL,KSL,KSL,TRN,Off,Off,Off,Off,KSL,KSL
SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK
VAC,VAC,VAC,VAC,Off,Off,R,R,ROB,ROB,ROB,ROB,ROB,ROB,ROB,Off,Off,ROB,ROB,ROB,ROB,ROB,ROB,ROB,ROB,Off,Off,Off,Off,ROB,ROB
Off,OFF,HL,TSD,ROB,ROB,ROB,ROB,Off,OFF,TSD,PC,PC,PC,PC,R,Off,INS,INS,Off,Off,Off,7 A,R,TSD,ROB,ROB,Off,Off,D,GSC
Off,R,R,805,R,R,Off,Off,R,R,R,805,R,R,R,Off,Off,R,805,R,R,R,Off,HL,R,R,Off,Off,Off,D,D
PC,PC,PC,GSC,Off,Off,Off,Off,R,GSC,R,HL,R,Off,E,805,R,R,HL,R,Off,Off,INS,INS,GSC,HL,R,D,D,VAC,VAC
R,Off,Off,FOD,R,PC,G,G,LH,LH,Off,D/S,Off,Off,R,G,G,INS,INS,LH,Off,Off,R,R,R,G,G,ROB,ROB,H,Off
Off,W,W,INS,INS,SCK,Off,Off,W,W,W,W,W,COL,E,W,W,W,Off,Off,OFF,,W,W,W,W,W,Off,Off,W,W
Off,FML,R,FML,FML,FML,R,MST,Off,Off,R,FML,FML,FML,R,R,HL,R,Off,Off,Off,Off,R,805,R,R,R,Off,Off,SCK,SCK
W,Off,Off,W,W,W,W,W,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK
