CCB,R,OFF,OFF,OFF,OFF,COL,COL,R,CCB,HL,R,OFF,OFF,ER,R,805,R,R,CCB,OFF,OFF,HL,R,R,BC,BC,805,OFF,OFF,SCK
OFF,OFF,HL,R,WR,R,G,G,SCK,OFF,OFF,OFF,OFF,PC,HL,R,R,W,OFF,OFF,R,805,WR,HL,COL,OFF,OFF,G,G,G,HL
ER,805,W,W,PC,PC,OFF,OFF,R,COL,W,W,ER,805,SCK,R,OFF,OFF,OFF,OFF,805,ER,R,SCK,SCK,OFF,OFF,R,805,R,R
OFF,OFF,CCB,R,MST,CCB,Q,TRN,CCB,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,TRN,LH,LH,R,OFF,OFF,TRN
SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK
OFF,LH,LH,LH,GAT,LH,LH,LH,LH,VAC,VAC,VAC,VAC,VAC,VAC,VAC,R,ER,OFF,OFF,R,Q,LH,LH,LH,OFF,OFF,LH,LH,LH,LH
PC,R,R,VAC,OFF,OFF,ER,VAC,W,W,W,CCB,MST,OFF,OFF,COL,COL,COL,BC,BC,BC,BC,BC,OFF,OFF,OFF,OFF,R,HL,COL,VAC
SCK,PC,PC,PC,SA,MST,OFF,OFF,WR,HL,R,WR,CCB,OFF,OFF,CCB,BC,BC,OFF,OFF,Q,WR,R,ER,CCB,OFF,OFF,HL,R,R,R
OFF,ER,R,G,W,W,BC,MIL,MIL,MIL,MIL,MIL,MIL,SCK,PC,HL,KSL,KSL,OFF,OFF,CCB,Q,R,WR,7 A,OFF,OFF,R,R,805,R
BC,BC,BC,BC,BC,BC,OFF,OFF,BC,BC,BC,BC,BC,BC,BC,BC,OFF,OFF,OFF,OFF,WR,CCB,R,BC,BC,OFF,OFF,BC,BC,BC,BC
Vac,CCB,R,WR,OFF,OFF,PC,PC,PC,PC,PC,PC,PC,OFF,OFF,PC,PC,Vac,PC,PC,PC,PC,PC,OFF,OFF,OFF,OFF,PC,PC,PC,PC
COL,COL,COL,COL,COL,COL,OFF,OFF,R,805,CCB,COL,COL,COL,COL,VAC,OFF,OFF,OFF,OFF,COL,COL,COL,COL,SCK,OFF,OFF,COL,COL,SCK,COL
W,W,OFF,OFF,OFF,OFF,W,W,TRN,TRN,TRN,OFF,OFF,W,W,W,W,SCK,R,MST,OFF,OFF,W,W,W,OFF,OFF,W,W,W,W
OFF,SCK,KSL,KSL,KSL,KSL,KSL,KSL,VAC,OFF,OFF,VAC,VAC,VAC,VAC,VAC,VAC,VAC,KSL,KSL,Q,SCK,SCK,OFF,OFF,KSL,KSL,KSL,KSL,OFF,OFF
KSL,KSL,R,R,R,R,OFF,OFF,VAC,KSL,KSL,KSL,KSL,KSL,KSL,KSL,OFF,OFF,OFF,OFF,KSL,KSL,KSL,KSL,KSL,R,R,OFF,OFF,KSL,KSL
G,HL,ER,R,G,G,OFF,OFF,G,G,G,G,G,G,SCK,G,OFF,OFF,OFF,OFF,G,G,G,G,G,OFF,OFF,SCK,SCK,SCK,SCK
OFF,ROB,ROB,ROB,ROB,ROB,ROB,ROB,ROB,OFF,OFF,OFF,OFF,ROB,ROB,ROB,ROB,ROB,OFF,OFF,ROB,Q,ROB,ROB,ROB,ROB,ROB,OFF,OFF,ROB,ROB
SA,R,OFF,OFF,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,SA,SA,R,CCB,R,W,W,ER,Q,OFF,OFF,R,MST,R,ROB,ROB,OFF,OFF
OFF,R,WR,CCB,CCB,R,R,805,VAC,OFF,OFF,ER,WR,CCB,OFF,OFF,R,805,WR,OFF,OFF,HL,R,R,805,OFF,OFF,R,R,R,R
805,CCB,OFF,OFF,OFF,OFF,CCB,R,COL,R,COL,OFF,OFF,HL,WR,TRD,WR,PC,COL,COL,OFF,OFF,R,PC,PC,R,R,OFF,OFF,TSD,TSD
ROB,WR,W,W,OFF,OFF,805,R,KSL,LH,LH,LH,LH,WR,805,R,OFF,OFF,OFF,OFF,W,W,W,805,R,OFF,W,W,W,W,OFF
LH,R,CCB,HL,OFF,OFF,R,WR,SA,SA,SA,OFF,CCB,SA,SA,OFF,LH,LH,LH,LH,OFF,OFF,SA,R,HL,R,OFF,OFF,R,HL,R
FML,FML,FML,FML,OFF,OFF,FML,FML,805,WR,CCB,R,R,R,OFF,OFF,HL,WR,CCB,SCK,HL,FML,Q,OFF,OFF,OFF,OFF,R,FML,R,805
OFF,R,R,805,LH,SCK,HL,BC,W,OFF,OFF,OFF,OFF,LH,LH,LH,R,HL,OFF,OFF,R,LH,805,R,R,G,G,Q,OFF,OFF,G
HL,TRN,TRN,TRN,OFF,OFF,Q,R,SCK,ROB,ROB,ROB,ROB,OFF,OFF,805,G,G,G,G,TRN,ROB,R,OFF,OFF,COL,COL,TRN,OFF,OFF,TRN
W,W,OFF,OFF,OFF,OFF,W,W,SCK,W,SCK,OFF,OFF,W,W,W,W,W,MST,OFF,OFF,Q,SCK,W,W,W,SCK,OFF,OFF,SCK,W
