VAC,OFF,WR,INS,INS,CCB,R,OFF,OFF,805,CCB,R,COL,COL,HL,ER,CCB,OFF,OFF,OFF,OFF,805,HL,WR,PC,Hol,OFF,OFF,BC,BC,
Q,Q,Q,OFF,OFF,OFF,OFF,PC,PC,CCB,805,HL,OFF,OFF,INS,INS,805,CCB,COL,R,WR,OFF,CCB,OFF,G,Hol,SCK,COL,CCB,OFF,
R,SCK,SCK,SCK,SCK,OFF,OFF,SCK,SCK,SCK,R,PC,PC,PC,CCB,OFF,OFF,INS,INS,MST,COL,COL,OFF,OFF,Hol,CCB,COL,MST,COL,COL,
PC,OFF,OFF,HL,R,ER,CCB,R,OFF,PPD,COL,COL,SCK,R,WR,CHL,CHL,OFF,OFF,OFF,OFF,BC,BC,BC,BC,Hol,OFF,GAT,R,ER,
COL,COL,COL,LH,ER,MST,R,SCK,CCB,CHL,OFF,VAC,VAC,VAC,INS,INS,CCB,BC,BC,OFF,OFF,WR,PC,CHL,Hol,CCB,BC,BC,PC,PC,
OFF,FML,FML,FML,FML,FML,FML,OFF,OFF,LH,CCB,R,OFF,OFF,GSO,GSO,GSO,GSO,GSO,OFF,OFF,LH,LH,LH,LH,Hol,OFF,OFF,LH,LH,
Q,Q,Q,CHL,CHL,R,MST,CCB,CHL,OFF,OFF,WR,MST,WR,ER,PC,PC,OFF,OFF,PC,PC,ER,WR,VAC,Hol,Hol,VAC,VAC,805,CHL,
Sic,OFF,OFF,ER,HL,WR,R,CHL,WR,R,OFF,OFF,OFF,OFF,R,805,WR,CCB,CHL,R,CCB,R,OFF,OFF,Hol,ER,R,CCB,OFF,OFF,
ROB,ROB,ROB,Mil,Mil,Mil,Mil,BC,BC,PC,LH,LH,CCB,MST,R,OFF,OFF,LH,LH,R,OFF,OFF,KSL,ROB,ROB,Hol,OFF,OFF,R,805,
BC,BC,BC,BC,BC,BC,BC,OFF,OFF,BC,R,R,BC,BC,BC,BC,BC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,HL,CCB,
CCB,PC,PC,PC,PC,PC,PC,OFF,OFF,SCK,SCK,SCK,OFF,OFF,PC,KSL,VAC,PC,PC,OFF,OFF,PC,CCB,PC,Hol,PC,PC,PC,OFF,OFF,
Q,Q,Q,COL,COL,COL,COL,COL,VAC,VAC,VAC,VAC,VAC,VAC,COL,COL,COL,COL,ER,COL,OFF,OFF,COL,VAC,Hol,Hol,OFF,OFF,VAC,KSL,
W,SA,SA,INS,INS,R,OFF,OFF,W,W,W,W,SCK,R,W,W,W,OFF,OFF,OFF,OFF,W,W,W,Hol,W,CCB,R,OFF,OFF,
R,LH,KSL,OFF,OFF,OFF,OFF,R,R,ER,KSL,KSL,KSL,KSL,KSL,OFF,OFF,ER,HL,CCB,MST,OFF,OFF,KSL,KSL,Hol,KSL,KSL,KSL,VAC,
KSL,KSL,SCK,KSL,KSL,KSL,KSL,KSL,KSL,KSL,VAC,VAC,VAC,VAC,VAC,VAC,VAC,KSL,KSL,KSL,KSL,KSL,OFF,OFF,COL,KSL,R,CCB,OFF,OFF,
CHL,CHL,G,SCK,G,G,G,G,OFF,OFF,G,G,OFF,OFF,805,HL,SCK,G,G,OFF,OFF,G,G,HL,Hol,G,G,G,SCK,OFF,
Q,Q,Q,ROB,ROB,OFF,OFF,ROB,ROB,R,HL,ROB,ROB,OFF,OFF,VAC,ROB,HL,805,ROB,ROB,ROB,ROB,OFF,R,ROB,ROB,ROB,CHL,ROB,
OFF,W,LH,W,W,ROB,ROB,OFF,OFF,CCB,CHL,R,ER,ROB,ROB,CHL,OFF,ROB,ROB,MST,R,OFF,CHL,OFF,Hol,LH,LH,LH,CCB,R,
LH,OFF,OFF,SCK,SCK,OFF,OFF,R,805,R,W,W,LH,LH,LH,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,CCB,Hol,OFF,OFF,G,G,
HL,CCB,CCB,OFF,OFF,OFF,OFF,TSD,SCK,PPD,TSD,TSD,R,ER,TSD,TSD,ER,OFF,GSO,Off,Off,R,805,ER,ER,BC,OFF,GSO,WR,CCB,
WR,OFF,OFF,805,805,R,R,HL,R,OFF,OFF,SCK,CHL,CCB,R,WR,HL,OFF,OFF,OFF,OFF,CHL,ER,805,Hol,Hol,R,WR,OFF,OFF,
G,G,OFF,OFF,LH,LH,LH,OFF,OFF,HL,BC,BC,OFF,OFF,FML,ROB,KSL,W,W,BC,BC,HL,OFF,OFF,Hol,R,CHL,WR,OFF,OFF,
W,W,W,OFF,OFF,OFF,OFF,R,HL,ROB,R,CHL,G,G,INS,INS,OFF,OFF,CCB,FML,ER,SCK,SCK,COL,WR,OFF,OFF,OFF,W,W,
Q,Q,Q,OFF,OFF,OFF,OFF,LH,LH,LO,ROB,R,OFF,OFF,CHL,LH,LH,805,CCB,LH,LH,R,OFF,OFF,Hol,COL,MST,ER,OFF,OFF,
Sic,Sic,Sic,Sic,Sic,OFF,OFF,FNL,FNL,FNL,WR,CCB,CCB,FML,ER,*OF,OFF,INS,INS,CHL,R,OFF,OFF,CCB,Hol,Hol,OFF,OFF,R,HL,
805,HL,805,OFF,OFF,OFF,OFF,ER,COL,COL,PC,CCB,OFF,OFF,G,G,G,W,WR,G,G,CCB,OFF,OFF,Hol,MST,ER,R,ER,R,
OFF,OFF,CHL,CCB,WR,CHL,WR,805,G,G,OFF,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,G,MST,WR,R,CCB,ROB,OFF,
OFF,OFF,W,W,W,R,R,W,W,W,OFF,OFF,OFF,OFF,W,W,W,SCK,W,OFF,OFF,W,W,W,R,Hol,OFF,OFF,W,W,
