Off,Off,CHL,WR,W,Off,Off,VAC,VAC,VAC,VAC,Off,Off,R,805,R,SCK,SCK,SCK,SCK,Hol,Off,Off,805,CCB,COL,COL,ER,,,
R,805,Off,Off,Off,Off,PC,HL,CHL,CCB,WR,LH,LH,ER,R,WR,OFF,OFF,OFF,OFF,OFF,G,R,COL,G,BC,BC,R,,,
Off,ER,HL,R,Off,Off,COL,COL,SCK,BC,BC,Off,Off,R,CCB,805,CCB,R,MST,WR,ER,R,CCB,Off,Off,Off,Off,805,,,
TRN,R,Off,Off,Off,GAT,HL,CCB,GSO,G,PPD,G,G,TRN,R,CCB,Off,Off,GAT,Swi,CCB,SA,SA,SA,WR,PC,PC,CCB,,,
BC,R,Off,OFF,Off,Off,SCK,SCK,SCK,KSL,PC,KSL,KSL,R,CCB,R,Off,OFF,OFF,Off,R,SCK,SCK,SCK,SCK,SCK,SCK,SCK,,,
LH,FML,SCK,ER,LH,LH,Off,Off,805,LH,LH,Off,Off,TSD,TSD,R,TSD,TSD,SCK,SCK,LH,LH,LH,Off,Off,LH,LH,Off,,,
R,PC,PC,VAC,Off,Off,805,CHL,R,CHL,HL,PC,PC,R,Off,Off,805,HL,R,ER,W,Off,W,R,Off,Off,Off,PC,,,
R,CHL,CCB,SCK,SCK,R,CCB,R,ER,Off,Off,Off,Off,PC,PC,W,SCK,R,CHL,R,R,HL,R,Off,Off,Off,Off,SCK,,,
Off,Off,R,CHL,FSC,PC,Off,Off,WR,HL,R,Off,Off,LH,LH,CCB,COL,COL,PC,PC,R,SCK,BC,MIL,MIL,MIL,MIL,Off,,,
SCK,BC,BC,BC,BC,BC,Off,Off,BC,R,CHL,BC,BC,BC,BC,BC,BC,OFF,OFF,OFF,OFF,FNL,SCK,BC,BC,OFF,Off,BC,,,
PC,OFF,OFF,OFF,Off,Off,SCK,R,PC,PC,FNL,FNL,FNL,Off,Off,PC,R,PC,Off,Off,PC,PC,PC,PC,PC,Off,Off,Hol,,,
805,KSL,COL,COL,COL,COL,Off,Off,COL,R,COL,COL,COL,COL,COL,SCK,Off,OFF,OFF,OFF,OFF,COL,COL,ER,COL,Off,Off,COL,,,
W,W,W,W,Off,Off,W,W,SCK,W,W,W,MST,W,Off,Off,SCK,W,W,W,W,W,W,Off,Off,SCK,MST,W,,,
Off,SCK,KSL,KSL,KSL,KSL,KSL,KSL,KSL,Off,Off,Off,Off,KSL,KSL,HL,CCB,805,Off,Off,Hol,WR,CHL,CCB,KSL,KSL,KSL,Off,,,
KSL,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,KSL,MST,R,Off,Off,KSL,KSL,SCK,Off,Off,KSL,KSL,KSL,KSL,ER,Off,Off,KSL,,,
G,Off,Off,G,G,G,G,G,G,Off,Off,Off,Off,G,R,G,G,SCK,Off,Off,G,805,G,G,SCK,Off,Off,G,,,
HL,ROB,ROB,ROB,ROB,ROB,ROB,ROB,Off,Off,G,ROB,ROB,Off,Off,ROB,ROB,ROB,Off,Off,WR,ROB,ROB,R,HL,ROB,ROB,Off,,,
CCB,HL,R,CCB,R,MST,Off,Off,ROB,ROB,ROB,Off,Off,CCB,G,R,PC,KSL,COL,COL,COL,W,805,Off,Off,G,G,R,,,
CCB,R,ER,HL,CCB,ER,Off,Off,HL,805,R,R,SCK,CCB,Off,Off,ER,WR,ER,R,Hol,Off,Off,CCB,805,R,CCB,Off,,,
FML,WR,Off,Off,Off,Off,ER,PC,W,R,ER,Off,Off,FML,R,LH,LH,CHL,BC,BC,BC,BC,HL,Off,Off,Off,Off,HL,,,
WR,R,Off,Off,Off,Off,BC,TSD,TSD,ER,R,CHL,CCB,R,WR,TSD,Off,Off,OFF,OFF,OFF,R,CCB,W,W,ER,WR,R,,,
COL,COL,805,LH,MST,CCB,CHL,BC,CCB,Off,Off,OFF,,ROB,ROB,R,W,LH,KSL,KSL,MST,Off,Off,WR,SCK,Off,Off,ROB,,,
Off,Off,LH,805,ER,R,LH,LH,LH,Off,Off,Off,Off,W,W,CHL,CCB,G,CCB,G,VAC,VAC,VAC,ROB,ROB,Off,Off,LH,,,
ROB,LH,WR,PC,R,R,Off,Off,CCB,COL,805,FOD,Off,Off,HL,COL,HL,ER,G,SCK,Hol,Off,Off,LH,LH,FOD,ER,Off,,,
R,G,G,CCB,PC,R,CCB,805,R,Off,Off,Off,Off,FNL,R,SCK,CHL,BC,ROB,ROB,ROB,Off,Off,HL,CHL,Off,Off,Hol,,,
W,W,W,W,Off,Off,W,W,W,W,W,Off,Off,SCK,W,W,W,W,R,CCB,Hol,Off,Off,W,W,W,W,W,,,
R,R,OFF,OFF,Off,Off,R,ER,R,ER,R,ER,FML,HL,CHL,R,Off,Off,R,LH,FML,VAC,VAC,Off,Off,Off,Off,FML,,,
