FML,E,E,805,SCK,OFF,OFF,TRN,OFF,OFF,R,BC,Q,R,R,OFF,OFF,R,R,SA,KSL,KSL,BC,BC,OFF,OFF,R,R,R,MST,
R,E,E,OFF,OFF,805,Q,FNL,FNL,FNL,KSL,KSL,PC,OFF,OFF,OFF,OFF,G,G,SCK,SCK,LH,R,COL,Sic,PC,805,OFF,OFF,ROB,
R,WR,WR,W,HL,OFF,OFF,SCK,VAC,VAC,OFF,OFF,HL,805,W,W,R,R,PC,R,OFF,OFF,OFF,OFF,PPD,PPD,PPD,PPD,PPD,OFF,
R,E,E,HL,KSL,HL,BC,OFF,OFF,OFF,805,R,Q,HL,805,MST,G,OFF,OFF,R,W,W,KSL,KSL,W,W,W,OFF,OFF,R,
R,E,E,R,OFF,OFF,PC,TRN,PC,PC,OFF,OFF,805,TRN,HL,OFF,GAT,PC,TRN,SA,TRN,SA,OFF,OFF,R,805,R,W,R,OFF,
SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,R,R,R,R,R,OFF,OFF,R,R,R,COL,COL,COL,R,OFF,OFF,R,HL,PC,R,
LH,E,E,OFF,OFF,SCK,SCK,LH,R,R,LH,LH,LH,OFF,OFF,GAT,OFF,805,SA,SA,SA,SA,R,R,OFF,OFF,LH,LH,LH,OFF,
R,E,E,VAC,VAC,VAC,OFF,OFF,OFF,OFF,Q,R,R,R,R,R,R,OFF,OFF,R,BC,HL,MST,R,HL,OFF,OFF,805,805,R,
R,E,E,COL,OFF,OFF,R,PC,MST,COL,COL,COL,COL,OFF,OFF,OFF,OFF,INS,INS,R,R,R,R,OFF,OFF,VAC,R,R,R,BC,
,,,,OFF,OFF,,,R,R,G,G,G,OFF,OFF,OFF,OFF,R,805,G,G,G,OFF,OFF,R,R,R,G,G,G,
805,E,E,OFF,COL,R,HL,R,R,R,HL,OFF,OFF,R,R,ROB,ROB,OFF,ROB,ROB,OFF,ROB,Sic,MST,ROB,ROB,OFF,OFF,SCK,OFF,
BC,E,E,OFF,OFF,BC,Q,BC,BC,BC,BC,OFF,OFF,BC,BC,BC,BC,BC,BC,BC,OFF,BC,OFF,OFF,BC,BC,BC,BC,BC,OFF,
PC,PC,PC,PC,PC,PC,OFF,OFF,OFF,OFF,PC,PC,Q,PC,PC,PC,PC,OFF,OFF,PC,PC,PC,PC,PC,OFF,OFF,PC,PC,SCK,OFF,
COL,BC,BC,OFF,OFF,COL,COL,COL,COL,OFF,OFF,SCK,Q,SCK,COL,COL,COL,COL,COL,COL,OFF,OFF,OFF,OFF,COL,COL,COL,COL,SCK,COL,
W,E,E,OFF,W,W,W,OFF,W,R,Q,W,TRN,OFF,OFF,OFF,OFF,W,W,W,W,W,W,W,OFF,OFF,W,SCK,W,OFF,
SA,E,E,OFF,OFF,LO,LO,LO,OFF,OFF,OFF,LO,TSD,TSD,R,LO,LO,LO,TRN,SA,OFF,OFF,OFF,OFF,PC,SA,OFF,LO,LO,OFF,
KSL,E,E,KSL,OFF,OFF,KSL,KSL,KSL,KSL,OFF,OFF,R,COL,R,OFF,OFF,KSL,KSL,KSL,SA,SA,OFF,OFF,SCK,Sic,SCK,ROB,COL,KSL,
SA,E,E,OFF,OFF,KSL,Q,R,SCK,R,OFF,OFF,KSL,SCK,KSL,OFF,OFF,R,R,R,SA,SA,OFF,OFF,KSL,KSL,VAC,R,KSL,OFF,
SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,
ROB,ROB,ROB,W,805,ROB,ROB,ROB,ROB,ROB,ROB,ROB,ROB,OFF,OFF,OFF,OFF,ROB,SA,SA,SA,SA,ROB,ROB,OFF,OFF,ROB,SCK,SCK,VAC,
R,E,E,ROB,ROB,R,805,HL,OFF,OFF,R,R,BC,ROB,ROB,OFF,OFF,HL,SA,SA,SA,SA,R,R,OFF,OFF,R,GSO,GSO,R,
R,ER,ER,OFF,OFF,R,R,805,OFF,OFF,R,805,R,R,R,OFF,OFF,INS,INS,R,SCK,805,R,R,805,OFF,OFF,R,R,OFF,
SA,E,E,BC,BC,OFF,,OFF,OFF,OFF,TSD,TSD,Q,W,W,OFF,OFF,R,SA,SA,SA,SA,TSD,R,OFF,OFF,KSL,KSL,R,PC,
R,E,E,OFF,LH,Q,LH,G,R,OFF,OFF,HL,BC,LH,LH,G,KSL,LH,LH,LH,OFF,OFF,OFF,OFF,LH,LH,HL,R,ROB,R,
R,E,E,OFF,OFF,R,Q,W,G,G,W,R,W,OFF,OFF,OFF,OFF,W,R,SA,LH,SA,OFF,VAC,VAC,VAC,VAC,VAC,VAC,OFF,
FML,E,E,R,FML,OFF,FML,FML,FML,FML,OFF,OFF,Q,R,R,R,R,R,HL,805,OFF,OFF,OFF,OFF,FML,FML,FML,FML,FML,OFF,
HL,ER,ER,R,R,OFF,OFF,TRN,R,R,SCK,OFF,OFF,G,G,R,W,R,TRN,OFF,TRN,OFF,G,G,G,G,G,OFF,OFF,OFF,
W,E,E,OFF,W,W,W,W,OFF,W,W,W,W,W,OFF,OFF,OFF,OFF,W,W,SCK,SCK,OFF,OFF,W,W,SCK,SCK,W,W,
